proto,transport,protocol
0,ip,ip
1,icmp,icmp
2,igmp,ip
3,ggp,ip
4,ipencap,ip
5,st2,ip
6,tcp,ip
7,cbt,ip
8,egp,ip
9,igp,ip
10,bbn-rcc,ip
11,nvp,ip
12,pup,ip
13,argus,ip
14,emcon,ip
15,xnet,ip
16,chaos,ip
17,udp,ip
18,mux,ip
19,dcn,ip
20,hmp,ip
21,prm,ip
22,xns-idp,ip
23,trunk-1,ip
24,trunk-2,ip
25,leaf-1,ip
26,leaf-2,ip
27,rdp,ip
28,irtp,ip
29,iso-tp4,ip
30,netblt,ip
31,mfe-nsp,ip
32,merit-inp,ip
33,sep,ip
34,3pc,ip
35,idpr,ip
36,xtp,ip
37,ddp,ip
38,idpr-cmtp,ip
39,tp++,ip
40,il,ip
41,ipv6,ip
42,sdrp,ip
43,ipv6-route,ip
44,ipv6-frag,ip
45,idrp,ip
46,rsvp,ip
47,gre,ip
48,mhrp,ip
49,bna,ip
50,esp,ip
51,ah,ip
52,i-nlsp,ip
53,swipe,ip
54,narp,ip
55,mobile,ip
56,tlsp,ip
57,skip,ip
58,ipv6-icmp,icmp
59,ipv6-nonxt,ip
60,ipv6-opts,ip
62,cftp,ip
64,sat-expak,ip
65,kryptolan,ip
66,rvd,ip
67,ippc,ip
69,sat-mon,ip
70,visa,ip
71,ipcv,ip
72,cpnx,ip
73,cphb,ip
74,wsn,ip
75,pvp,ip
76,br-sat-mon,ip
77,sun-nd,ip
78,wb-mon,ip
79,wb-expak,ip
80,iso-ip,ip
81,vmtp,ip
82,secure-vmtp,ip
83,vines,ip
84,ttp,ip
85,nsfnet-igp,ip
86,dgp,ip
87,tcf,ip
88,eigrp,ip
89,ospf,ip
90,sprite-rpc,ip
91,larp,ip
92,mtp,ip
93,ax.25,ip
94,ipip,ip
95,micp,ip
96,scc-sp,ip
97,etherip,ip
98,encap,ip
100,gmtp,ip
101,ifmp,ip
102,pnni,ip
103,pim,ip
104,aris,ip
105,scps,ip
106,qnx,ip
107,a/n,ip
108,ipcomp,ip
109,snp,ip
110,compaq-peer,ip
111,ipx-in-ip,ip
112,vrrp,ip
113,pgm,ip
115,l2tp,ip
116,ddx,ip
117,iatp,ip
118,st,ip
119,srp,ip
120,uti,ip
121,smp,ip
122,sm,ip
123,ptp,ip
124,isis,ip
125,fire,ip
126,crtp,ip
127,crdup,ip
128,sscopmce,ip
129,iplt,ip
130,sps,ip
131,pipe,ip
132,sctp,ip
133,fc,ip
135,mobility-header,ip
136,udplite,ip
137,mpls-in-ip,ip
138,manet,ip
139,hip,ip
140,shim6,ip
141,wesp,ip
142,rohc,ip